parent,label,updated,date,confirmed,recovered,deaths,lon,lat,source,source_url,scraper
Australien,New South Wales,1585254556000,2020-03-26T21:29:16+01:00,1219,4,7,151.2093,-33.8688,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Northern Territory,1585254556000,2020-03-26T21:29:16+01:00,12,0,0,130.8456,-12.4634,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Australian Capital Territory,1585254556000,2020-03-26T21:29:16+01:00,53,1,0,149.0124,-35.4735,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Queensland,1585254556000,2020-03-26T21:29:16+01:00,493,8,1,153.0251,-27.4698,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,South Australia,1585254556000,2020-03-26T21:29:16+01:00,235,6,0,138.6007,-34.9285,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Tasmania,1585254556000,2020-03-26T21:29:16+01:00,47,3,0,147.3272,-42.8821,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Victoria,1585254556000,2020-03-26T21:29:16+01:00,520,149,3,144.9631,-37.8136,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Western Australia,1585254556000,2020-03-26T21:29:16+01:00,231,1,2,115.8605,-31.9505,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Kanada,Ontario,1585254542000,2020-03-26T21:29:02+01:00,858,0,13,-85.3232,51.2538,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Kanada,Nova Scotia,1585254542000,2020-03-26T21:29:02+01:00,73,0,0,-63.7443,44.682,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
